time,value
3,0.557712975726
6,0.773656294517
9,0.798534605255
14,0.88444152132
15,0.885381708223
18,0.924654796788
21,0.938587209977
24,0.978665111655
27,1.045883177383
30,1.049813502304
33,1.093844616389
36,1.103763370378
39,1.124563696397
42,1.146894115092
45,1.216189364972
48,1.34526574409
51,1.348251737257
54,1.358945619849
57,1.392773001757
60,1.464662764058
63,1.620146721019
66,1.779435278823
69,1.794530039535
72,1.863938666856
75,1.892872323397
78,1.898050434071
81,1.967239361698
84,2.005802963743
87,2.007807050202
90,2.009774123434
93,2.013362409709
96,2.098212003869
99,2.1234789917
102,2.21341808366
105,2.276321892742
108,2.307620395836
111,2.400897095468
114,2.4329480489
117,2.46679045197
120,2.560386432637
123,2.614868329023
128,2.83926699159
131,2.854712190035
134,2.856234539416
137,2.896967819495
140,2.929457848495
143,2.954156269201
146,3.00301526843
149,3.026882660969
152,3.029766367957
155,3.037758326832
158,3.05193358052
161,3.130953637346
164,3.302351867383
167,3.311990061472
170,3.322078616753
173,3.328045016829
176,3.415880437124
179,3.461510536516
182,3.51329755492
185,3.552134797932
188,3.840277890837
191,3.847464606608
194,3.881199903854
197,3.894113728891
200,3.902095825619
203,3.906773228034
206,3.94314463816
209,3.967693299589
212,3.991710861794
215,4.053293468127
218,4.074352725013
221,4.07541791445
224,4.289287857083
227,4.325738667113
230,4.408564711105
233,4.410828231809
238,4.451500534428
239,4.452244496693
242,4.485199135332
245,4.574747490301
250,4.813969799199
251,4.814140918919
254,4.82768428137
257,4.920726142938
260,4.92793432225
263,4.976497980416
266,4.987475385353
269,4.998321306029
272,5.000735041754
275,5.016429237346
278,5.025838436534
281,5.04704834849
284,5.215073116753
289,5.371650381036
292,5.375875894887
295,5.417253942204
298,5.42424268911
301,5.43239436515
304,5.482432575408
307,5.499238490522
310,5.801690101878
313,5.84099572955
316,5.848343283613
319,5.925359047739
322,5.929250737069
325,5.932996943988
328,6.007056044204
331,6.01251599679
334,6.025333081441
337,6.056460100946
340,6.063418414932
343,6.115489150467
346,6.165731437016
349,6.354524098638
352,6.369138049449
355,6.373127806721
358,6.412193443229
361,6.414226492704
364,6.45709638635
367,6.466840014024
370,6.723765129711
373,6.856887326971
376,6.875946194002
379,6.879609202011
382,6.888799396692
385,6.946372515544
388,6.988666040333
391,6.999078114586
394,7.018203478842
397,7.085151691246
400,7.088965474556
403,7.10243020707
406,7.127617061114
409,7.331413123453
412,7.37909331729
415,7.407859732931
418,7.436727030783
421,7.508615492494
424,7.542478707735
427,7.552388279394
430,7.717495369374
433,7.790752140595
438,7.858812201325
441,7.903075649053
444,7.909768500295
447,7.926041036635
450,7.936604358324
453,7.971298412162
456,8.036518756602
459,8.04552686645
462,8.051656374032
465,8.07349387554
468,8.198347553166
471,8.303302017249
474,8.338321357149
477,8.360472573641
480,8.404038440179
483,8.506075342395
486,8.546347729745
489,8.628483458024
492,8.700347967048
495,8.771641701529
498,8.846440075686
501,8.874399235169
504,8.939078809764
507,8.948262924165
510,8.949924648016
513,8.989596654823
516,9.044318924959
519,9.047320658642
522,9.056305984617
525,9.117135654364
528,9.156838466856
531,9.277095070969
534,9.353510656183
537,9.387533539649
540,9.461619055201
543,9.489897679746
546,9.510061520734
549,9.530354798373
552,9.733830042298
555,9.772799648087
558,9.840110117359
561,9.903834062884
564,9.907805866211
567,9.942542687686
570,9.980957197652
573,9.982344249334
