mode,nodes,Cloud_AvgDelay_s_mean,mean_EndToEndDelay_s_mean,GW_Dropped_mean,throughput_cloud_msgps_mean,energy_per_forwarded_mJ_mean,detection_rate_mean,GW_Dropped_HMAC_mean,GW_Dropped_Stale_mean,GW_Dropped_Duplicate_mean,Cloud_AvgDelay_s_std,mean_EndToEndDelay_s_std,GW_Dropped_std,throughput_cloud_msgps_std,energy_per_forwarded_mJ_std,detection_rate_std,GW_Dropped_HMAC_std,GW_Dropped_Stale_std,GW_Dropped_Duplicate_std
Attack,5,0.0009999843503187332,0.0009999843503187332,3.3333333333333335,4.633333333333333,10.360205314009661,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.7204996833800007e-08,4.7204996833800007e-08,0.5773502691896258,0.15275252316519472,0.06542046015166222,0.0,0.5773502691896258,0.5773502691896258,0.5773502691896258
Attack,20,0.0010000004618918334,0.0010000004618918,3.3333333333333335,19.099999999999998,10.08731594162956,1.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.8289898801933562e-08,1.8289898743969387e-08,0.5773502691896258,0.2645751311064593,0.015576358299117151,0.0,0.5773502691896258,0.5773502691896258,0.5773502691896258
Attack,50,0.0009999970085863,0.0009999970085862668,3.0,47.333333333333336,10.031692256766737,1.0,3.0,2.0,3.0,8.199291493007372e-09,8.199291450452293e-09,0.0,0.47258156262526285,0.00031789500738212053,0.0,0.0,0.0,0.0
AttackOnNoSec,50,0.02966752499764967,0.029667524997649367,0.0,47.63333333333333,5.0,0.0,0.0,0.0,0.0,0.0009996867514242128,0.0009996867514243302,0.0,0.4725815626252575,0.0,0.0,0.0,0.0,0.0
AttackWindow3s,50,0.0009999970085863,0.0009999970085862668,3.0,47.333333333333336,10.031692256766737,1.0,3.0,2.0,3.0,8.199291493007372e-09,8.199291450452293e-09,0.0,0.47258156262526285,0.00031789500738212053,0.0,0.0,0.0,0.0
NoSec,5,1.3013761612068067e-08,1.3013761612067991e-08,0.0,4.7,5.0,,0.0,0.0,0.0,1.6554067396913662e-08,1.6554067396913778e-08,0.0,0.2000000000000004,0.0,,0.0,0.0,0.0
NoSec,20,-2.055973514722833e-08,-2.0559735147228102e-08,0.0,19.0,5.0,,0.0,0.0,0.0,6.379875137098038e-09,6.3798751370978525e-09,0.0,0.1732050807568866,0.0,,0.0,0.0,0.0
NoSec,50,-2.8414604352374335e-08,-2.8414604352374163e-08,0.0,47.36666666666667,5.0,,0.0,0.0,0.0,1.506587972321135e-08,1.5065879723211572e-08,0.0,0.513160143944688,0.0,,0.0,0.0,0.0
Secure,5,0.0010000130137616,0.0010000130137615667,0.0,4.7,10.0,,0.0,0.0,0.0,1.655406738299718e-08,1.6554067389256822e-08,0.0,0.2000000000000004,0.0,,0.0,0.0,0.0
Secure,20,0.0009999794402648333,0.0009999794402648001,0.0,19.0,10.0,,0.0,0.0,0.0,6.379875131384134e-09,6.379875179532168e-09,0.0,0.1732050807568866,0.0,,0.0,0.0,0.0
Secure,50,0.0009999715853955665,0.0009999715853955665,0.0,47.36666666666667,10.0,,0.0,0.0,0.0,1.5065879708441296e-08,1.5065879708441296e-08,0.0,0.513160143944688,0.0,,0.0,0.0,0.0
