کانفیگ,ترتیب,کار متوسط,انرژی به ازای پیام معتبر (میلی‌ژول),حذف در H درصد,حذف در F درصد,حذف در B درصد,مشاهده کوتاه
Attack50_bloom-0-20250914-02:28:30-94730,HFB,2.982,10.092,0.0,1.8,0.0,حذف بازپخش غالب
Attack50_bloom-0-20250914-02:28:30-94731,HBF,2.982,10.092,0.0,0.0,1.8,حذف تکراری غالب
Attack50_bloom-0-20250914-02:28:30-94734,FHB,2.964,10.092,0.0,1.8,0.0,حذف بازپخش غالب
Attack50_bloom-0-20250914-02:28:30-94737,FBH,2.964,10.092,0.0,1.8,0.0,حذف بازپخش غالب
Attack50_bloom-0-20250914-02:28:30-94738,BHF,2.964,10.092,0.0,0.0,1.8,حذف تکراری غالب
Attack50_bloom-0-20250914-02:28:30-94739,BFH,2.964,10.092,0.0,0.0,1.8,حذف تکراری غالب
Secure50_bloom-0-20250914-02:28:30-94710,HFB,3.0,10.0,0.0,0.0,0.0,بدون حذف
Secure50_bloom-0-20250914-02:28:30-94711,HBF,3.0,10.0,0.0,0.0,0.0,بدون حذف
Secure50_bloom-0-20250914-02:28:30-94712,FHB,3.0,10.0,0.0,0.0,0.0,بدون حذف
Secure50_bloom-0-20250914-02:28:30-94727,FBH,3.0,10.0,0.0,0.0,0.0,بدون حذف
Secure50_bloom-0-20250914-02:28:30-94728,BHF,3.0,10.0,0.0,0.0,0.0,بدون حذف
Secure50_bloom-0-20250914-02:28:30-94729,BFH,3.0,10.0,0.0,0.0,0.0,بدون حذف
