N,MedianDelay_ms,CI95_Median_low_ms,CI95_Median_high_ms,P95Delay_ms,CI95_P95_low_ms,CI95_P95_high_ms,runs,samples,scenario,DeltaMedian_Sec_vs_NoSec_percent,DeltaP95_Sec_vs_NoSec_percent
5.0,-1.1648000000000001e-05,-5.22941375e-05,2.0097787499999978e-05,0.00045588575,0.00042286499999999997,0.000462463,5.0,466.0,NoSec,,
5.0,0.9999883519999999,0.9999479805,1.000019641,1.0004558857499999,1.0004278960000001,1.000462469075,5.0,466.0,Secure,-8585164.835164834,219353.2041745108
5.0,1.000044954,0.99999909,1.0000812595,1.0004644436499999,1.000431971,1.0004796202,5.0,470.0,Attack,,
20.0,-2.8885e-06,-2.1839000000000002e-05,2.0705e-05,0.00045074244999999995,0.00044058905499999996,0.000460449,5.0,1852.0,NoSec,,
20.0,0.9999971114999999,0.9999780679999999,1.00001971015,1.00045074245,1.00044035955,1.0004608334,5.0,1852.0,Secure,-34620045.00605851,221856.1841690305
20.0,0.9999983570000001,0.9999753819999999,1.0000203619999999,1.0004556733,1.000448046875,1.000465667,5.0,1859.0,Attack,,
50.0,-2.626e-06,-1.879e-05,1.0885e-05,0.00044850319999999985,0.000440952,0.000453543,5.0,4627.0,NoSec,,
50.0,0.9999972930000001,0.9999763210000001,1.0000186359999998,1.0004487136,1.0004372431000002,1.0004582800000001,5.0,2500.0,Secure,-38080728.065498866,222963.8964448861
50.0,1.0000152199999999,0.9999954602249999,1.0000378920000002,1.0004503386999999,1.00043557255,1.000459634,5.0,2478.0,Attack,,
