config,scenario,N,seed,median_ms,p95_ms,count
Attack5_record,Attack,5,101,1.00013804,1.0004613301,92
Attack5_record,Attack,5,102,0.99998267,1.0004668722,94
Attack5_record,Attack,5,103,1.0000797860000001,1.00043279125,94
Attack5_record,Attack,5,104,1.000051075,1.0004793191999999,95
Attack5_record,Attack,5,105,1.0000093429999999,1.0004255066999999,95
NoSec5_record,NoSec,5,101,-1.1768e-05,0.0003803805,91
NoSec5_record,NoSec,5,102,-6.26805e-05,0.00045570669999999997,94
NoSec5_record,NoSec,5,103,8.954999999999999e-07,0.0004631417,94
NoSec5_record,NoSec,5,104,-2.0829e-05,0.0004376101,95
NoSec5_record,NoSec,5,105,4.127500000000001e-06,0.0004602661,92
Secure5_record,Secure,5,101,0.999988232,1.0003803804999998,91
Secure5_record,Secure,5,102,0.9999373195000001,1.0004557067,94
Secure5_record,Secure,5,103,1.0000008955,1.0004631417,94
Secure5_record,Secure,5,104,0.999979171,1.0004376101,95
Secure5_record,Secure,5,105,1.0000041275,1.0004602661,92
Attack20_record,Attack,20,101,1.0000164329999999,1.00045018505,370
Attack20_record,Attack,20,102,0.9999480430000001,1.0004498917,372
Attack20_record,Attack,20,103,1.0000393410000001,1.000452596,373
Attack20_record,Attack,20,104,1.000002054,1.00045518975,374
Attack20_record,Attack,20,105,0.9999945145,1.000467053,370
NoSec20_record,NoSec,20,101,2.6385000000000002e-05,0.0004409092,369
NoSec20_record,NoSec,20,102,-2.8006500000000004e-05,0.00043614485,372
NoSec20_record,NoSec,20,103,9.081e-06,0.0004533375,371
NoSec20_record,NoSec,20,104,1.5043000000000001e-05,0.0004683035,371
NoSec20_record,NoSec,20,105,-1.8973999999999998e-05,0.00044737980000000003,369
Secure20_record,Secure,20,101,1.000026385,1.0004409092,369
Secure20_record,Secure,20,102,0.9999719935,1.00043614485,372
Secure20_record,Secure,20,103,1.000009081,1.0004533375000002,371
Secure20_record,Secure,20,104,1.0000150429999999,1.0004683035,371
Secure20_record,Secure,20,105,0.9999810259999999,1.0004473798,369
Attack50_record,Attack,50,101,1.0000119884999998,1.00045848675,496
Attack50_record,Attack,50,102,0.999986937,1.0004558510000001,495
Attack50_record,Attack,50,103,1.000049105,1.0004382441,495
Attack50_record,Attack,50,104,1.0000090265000001,1.000441488,496
Attack50_record,Attack,50,105,1.0000343104999998,1.0004428962499998,496
NoSec50_record,NoSec,50,101,1.10895e-05,0.00045318889999999997,920
NoSec50_record,NoSec,50,102,-1.5289e-05,0.00044046089999999987,927
NoSec50_record,NoSec,50,103,6.097e-06,0.00044775914999999983,924
NoSec50_record,NoSec,50,104,4.911e-06,0.0004544913,935
NoSec50_record,NoSec,50,105,-2.1194e-05,0.000446675,921
Secure50_record,Secure,50,101,1.0000209335,1.00043472995,500
Secure50_record,Secure,50,102,0.9999720169999999,1.0004304608999999,500
Secure50_record,Secure,50,103,1.000017733,1.00045008695,500
Secure50_record,Secure,50,104,1.0000285464999998,1.00046049015,500
Secure50_record,Secure,50,105,0.99995016,1.0004471637499999,500
