N,scenario,MedianGatewayEnergy_J,CI95_Gateway_low_J,CI95_Gateway_high_J,MedianEnergyPerMsg_J,CI95_EnergyPerMsg_low_J,CI95_EnergyPerMsg_high_J,runs
5,NoSec,470.0,455.0,475.0,5.0,5.0,5.0,5
5,Secure,940.0,910.0,950.0,10.0,10.0,10.0,5
5,Attack,1025.0,990.0,1035.0,10.789473684210526,10.736842105263158,11.01063829787234,5
20,NoSec,1855.0,1845.0,1860.0,5.0,5.0,5.0,5
20,Secure,3710.0,3690.0,3720.0,10.0,10.0,10.0,5
20,Attack,3790.0,3770.0,3810.0,10.18918918918919,10.18716577540107,10.214477211796247,5
50,NoSec,4620.0,4600.0,4675.0,5.0,5.0,5.0,5
50,Secure,5000.0,5000.0,5000.0,10.0,10.0,10.0,5
50,Attack,5000.0,4995.0,5000.0,10.080645161290322,10.080645161290322,10.090909090909092,5
